GH4169, 650, 168000.0, 0.3, 8.24e-9, 21.5, 1.5e-5, 114.0, 0.14, 46.0, 5.8e-23, 5.2, -0.36, 1476.0, 0.162, 2008.0, 0.39, 480
IN738, 850, 148000, 0.26, 8.16e-9, 28.0, 1.61e-5, 933.01, 0.41, 60.0, 3.2e-19, 6.88, -0.08, 1800.0, 0.0375, 2124.2, 0.22, 730
